H 63
H This is a preprocessor file for the directory: m2z2m3/H5_surf
H At the time of the creation of this file there were 63 h5 files.
  M2.00Z.0020.0046001.surf.h5-cyc  M2.00Z.0020.0046001.surf.h5-age  M2.00Z.0020.0005001.surf.h5-cyc  M2.00Z.0020.0005001.surf.h5-age  M2.00Z.0020.0007001.surf.h5-cyc  M2.00Z.0020.0007001.surf.h5-age  M2.00Z.0020.0030001.surf.h5-cyc  M2.00Z.0020.0030001.surf.h5-age  M2.00Z.0020.0049001.surf.h5-cyc  M2.00Z.0020.0049001.surf.h5-age  M2.00Z.0020.0028001.surf.h5-cyc  M2.00Z.0020.0028001.surf.h5-age  M2.00Z.0020.0034001.surf.h5-cyc  M2.00Z.0020.0034001.surf.h5-age  M2.00Z.0020.0042001.surf.h5-cyc  M2.00Z.0020.0042001.surf.h5-age  M2.00Z.0020.0058001.surf.h5-cyc  M2.00Z.0020.0058001.surf.h5-age  M2.00Z.0020.0061001.surf.h5-cyc  M2.00Z.0020.0061001.surf.h5-age  M2.00Z.0020.0051001.surf.h5-cyc  M2.00Z.0020.0051001.surf.h5-age  M2.00Z.0020.0008001.surf.h5-cyc  M2.00Z.0020.0008001.surf.h5-age  M2.00Z.0020.0004001.surf.h5-cyc  M2.00Z.0020.0004001.surf.h5-age  M2.00Z.0020.0039001.surf.h5-cyc  M2.00Z.0020.0039001.surf.h5-age  M2.00Z.0020.0026001.surf.h5-cyc  M2.00Z.0020.0026001.surf.h5-age  M2.00Z.0020.0040001.surf.h5-cyc  M2.00Z.0020.0040001.surf.h5-age  M2.00Z.0020.0044001.surf.h5-cyc  M2.00Z.0020.0044001.surf.h5-age  M2.00Z.0020.0019001.surf.h5-cyc  M2.00Z.0020.0019001.surf.h5-age  M2.00Z.0020.0037001.surf.h5-cyc  M2.00Z.0020.0037001.surf.h5-age  M2.00Z.0020.0059001.surf.h5-cyc  M2.00Z.0020.0059001.surf.h5-age  M2.00Z.0020.0035001.surf.h5-cyc  M2.00Z.0020.0035001.surf.h5-age  M2.00Z.0020.0009001.surf.h5-cyc  M2.00Z.0020.0009001.surf.h5-age  M2.00Z.0020.0022001.surf.h5-cyc  M2.00Z.0020.0022001.surf.h5-age  M2.00Z.0020.0021001.surf.h5-cyc  M2.00Z.0020.0021001.surf.h5-age  M2.00Z.0020.0010001.surf.h5-cyc  M2.00Z.0020.0010001.surf.h5-age  M2.00Z.0020.0020001.surf.h5-cyc  M2.00Z.0020.0020001.surf.h5-age  M2.00Z.0020.0043001.surf.h5-cyc  M2.00Z.0020.0043001.surf.h5-age  M2.00Z.0020.0031001.surf.h5-cyc  M2.00Z.0020.0031001.surf.h5-age  M2.00Z.0020.0057001.surf.h5-cyc  M2.00Z.0020.0057001.surf.h5-age  M2.00Z.0020.0023001.surf.h5-cyc  M2.00Z.0020.0023001.surf.h5-age  M2.00Z.0020.0048001.surf.h5-cyc  M2.00Z.0020.0048001.surf.h5-age  M2.00Z.0020.0032001.surf.h5-cyc  M2.00Z.0020.0032001.surf.h5-age  M2.00Z.0020.0011001.surf.h5-cyc  M2.00Z.0020.0011001.surf.h5-age  M2.00Z.0020.0018001.surf.h5-cyc  M2.00Z.0020.0018001.surf.h5-age  M2.00Z.0020.0015001.surf.h5-cyc  M2.00Z.0020.0015001.surf.h5-age  M2.00Z.0020.0024001.surf.h5-cyc  M2.00Z.0020.0024001.surf.h5-age  M2.00Z.0020.0056001.surf.h5-cyc  M2.00Z.0020.0056001.surf.h5-age  M2.00Z.0020.0052001.surf.h5-cyc  M2.00Z.0020.0052001.surf.h5-age  M2.00Z.0020.0025001.surf.h5-cyc  M2.00Z.0020.0025001.surf.h5-age  M2.00Z.0020.0006001.surf.h5-cyc  M2.00Z.0020.0006001.surf.h5-age  M2.00Z.0020.0014001.surf.h5-cyc  M2.00Z.0020.0014001.surf.h5-age  M2.00Z.0020.0016001.surf.h5-cyc  M2.00Z.0020.0016001.surf.h5-age  M2.00Z.0020.0036001.surf.h5-cyc  M2.00Z.0020.0036001.surf.h5-age  M2.00Z.0020.0001001.surf.h5-cyc  M2.00Z.0020.0001001.surf.h5-age  M2.00Z.0020.0027001.surf.h5-cyc  M2.00Z.0020.0027001.surf.h5-age  M2.00Z.0020.0062001.surf.h5-cyc  M2.00Z.0020.0062001.surf.h5-age  M2.00Z.0020.0055001.surf.h5-cyc  M2.00Z.0020.0055001.surf.h5-age  M2.00Z.0020.0003001.surf.h5-cyc  M2.00Z.0020.0003001.surf.h5-age  M2.00Z.0020.0013001.surf.h5-cyc  M2.00Z.0020.0013001.surf.h5-age  M2.00Z.0020.0012001.surf.h5-cyc  M2.00Z.0020.0012001.surf.h5-age  M2.00Z.0020.0033001.surf.h5-cyc  M2.00Z.0020.0033001.surf.h5-age  M2.00Z.0020.0029001.surf.h5-cyc  M2.00Z.0020.0029001.surf.h5-age  M2.00Z.0020.0054001.surf.h5-cyc  M2.00Z.0020.0054001.surf.h5-age  M2.00Z.0020.0038001.surf.h5-cyc  M2.00Z.0020.0038001.surf.h5-age  M2.00Z.0020.0000001.surf.h5-cyc  M2.00Z.0020.0000001.surf.h5-age  M2.00Z.0020.0050001.surf.h5-cyc  M2.00Z.0020.0050001.surf.h5-age  M2.00Z.0020.0002001.surf.h5-cyc  M2.00Z.0020.0002001.surf.h5-age  M2.00Z.0020.0041001.surf.h5-cyc  M2.00Z.0020.0041001.surf.h5-age  M2.00Z.0020.0017001.surf.h5-cyc  M2.00Z.0020.0017001.surf.h5-age  M2.00Z.0020.0047001.surf.h5-cyc  M2.00Z.0020.0047001.surf.h5-age  M2.00Z.0020.0053001.surf.h5-cyc  M2.00Z.0020.0053001.surf.h5-age  M2.00Z.0020.0045001.surf.h5-cyc  M2.00Z.0020.0045001.surf.h5-age  M2.00Z.0020.0060001.surf.h5-cyc  M2.00Z.0020.0060001.surf.h5-age
  46001.0000                       29191011599070756.0000           5001.0000                        29122713583540356.0000           7001.0000                        29126755939653780.0000           30001.0000                       29173047723553848.0000           49001.0000                       29192771015441168.0000           28001.0000                       29170154778391888.0000           34001.0000                       29176819764827496.0000           42001.0000                       29184661916701380.0000           58001.0000                       29207112004568732.0000           61001.0000                       29213716136300572.0000           51001.0000                       29195795190150160.0000           8001.0000                        29133040156813684.0000           4001.0000                        29121366716253516.0000           39001.0000                       29182278253489872.0000           26001.0000                       29166603778164216.0000           40001.0000                       29182446036456632.0000           44001.0000                       29188178073933824.0000           19001.0000                       29155232571492984.0000           37001.0000                       29181087745413380.0000           59001.0000                       29208934928903428.0000           35001.0000                       29178378982316088.0000           9001.0000                        29133951980974452.0000           22001.0000                       29160650399424976.0000           21001.0000                       29158227300612656.0000           10001.0000                       29134855693527132.0000           20001.0000                       29156493561182044.0000           43001.0000                       29186540770352592.0000           31001.0000                       29173063760363156.0000           57001.0000                       29202015303055412.0000           23001.0000                       29162664940516568.0000           48001.0000                       29192071266626748.0000           32001.0000                       29173980880600832.0000           11001.0000                       29138990968560408.0000           18001.0000                       29154455592632080.0000           15001.0000                       29146707711929056.0000           24001.0000                       29164461581842224.0000           56001.0000                       29201969479507192.0000           52001.0000                       29197528771122664.0000           25001.0000                       29165202150139776.0000           6001.0000                        29125202519820924.0000           14001.0000                       29144982795594800.0000           16001.0000                       29149785978191500.0000           36001.0000                       29179785319941960.0000           1001.0000                        11001699038642132.0000           27001.0000                       29168102956710196.0000           62001.0000                       29217129109790820.0000           55001.0000                       29201787032829872.0000           3001.0000                        29120808865099640.0000           13001.0000                       29143901907529600.0000           12001.0000                       29142496122856952.0000           33001.0000                       29175035937298180.0000           29001.0000                       29171886394335820.0000           54001.0000                       29200466678888764.0000           38001.0000                       29182272218962164.0000           1.0000                           725.7388                         50001.0000                       29193686436489784.0000           2001.0000                        25930481674728432.0000           41001.0000                       29182874412577328.0000           17001.0000                       29152283349087436.0000           47001.0000                       29192064160810912.0000           53001.0000                       29199068424686956.0000           45001.0000                       29189652201825124.0000           60001.0000                       29211451454786780.0000         
  46002.0000                       29191012905732612.0000           5002.0000                        29122713583751328.0000           7002.0000                        29126761113025540.0000           30002.0000                       29173047724770156.0000           49002.0000                       29192771015443716.0000           28002.0000                       29170156657990580.0000           34002.0000                       29176821413763644.0000           42002.0000                       29184663975412404.0000           58002.0000                       29207116039930016.0000           61002.0000                       29213716168057584.0000           51002.0000                       29195797044172472.0000           8002.0000                        29133045132557244.0000           4002.0000                        29121371993663752.0000           39002.0000                       29182278275080088.0000           26002.0000                       29166603778167696.0000           40002.0000                       29182447660786208.0000           44002.0000                       29188179645505156.0000           19002.0000                       29155232571955120.0000           37002.0000                       29181089013318032.0000           59002.0000                       29208934929293376.0000           35002.0000                       29178380478243484.0000           9002.0000                        29133952031086732.0000           22002.0000                       29160652548383524.0000           21002.0000                       29158230191231000.0000           10002.0000                       29134855693571064.0000           20002.0000                       29156493561184072.0000           43002.0000                       29186542521885408.0000           31002.0000                       29173063856500572.0000           57002.0000                       29202015658828128.0000           23002.0000                       29162666810966264.0000           48002.0000                       29192071294233568.0000           32002.0000                       29173980880607144.0000           11002.0000                       29138994898143576.0000           18002.0000                       29154457695744852.0000           15002.0000                       29146711438984372.0000           24002.0000                       29164463321150468.0000           56002.0000                       29201969486265692.0000           52002.0000                       29197530397534968.0000           25002.0000                       29165202150247664.0000           6002.0000                        29125202519824508.0000           14002.0000                       29144982795595608.0000           16002.0000                       29149788716271400.0000           36002.0000                       29179786664797160.0000           1002.0000                        11190872382669662.0000           27002.0000                       29168105381381252.0000           62002.0000                       29217132151072024.0000           55002.0000                       29201788314348464.0000           3002.0000                        29120808867519376.0000           13002.0000                       29143901907694168.0000           12002.0000                       29142499297944712.0000           33002.0000                       29175037912474192.0000           29002.0000                       29171888004588680.0000           54002.0000                       29200468040269112.0000           38002.0000                       29182272254173944.0000           2.0000                           857.5441                         50002.0000                       29193688996483468.0000           2002.0000                        25957112564042460.0000           41002.0000                       29182874412577828.0000           17002.0000                       29152285619051972.0000           47002.0000                       29192064168885188.0000           53002.0000                       29199069867366596.0000           45002.0000                       29189653618233688.0000           60002.0000                       29211457275281524.0000         
  46003.0000                       29191014217093636.0000           5003.0000                        29122713583959340.0000           7003.0000                        29126766286397300.0000           30003.0000                       29173047725933900.0000           49003.0000                       29192771015446100.0000           28003.0000                       29170158531808776.0000           34003.0000                       29176823059818992.0000           42003.0000                       29184666030101668.0000           58003.0000                       29207120070860316.0000           61003.0000                       29213716199337932.0000           51003.0000                       29195798895081448.0000           8003.0000                        29133050114369504.0000           4003.0000                        29121377254242428.0000           39003.0000                       29182278296733364.0000           26003.0000                       29166603778171128.0000           40003.0000                       29182449313138608.0000           44003.0000                       29188181215780528.0000           19003.0000                       29155232572409620.0000           37003.0000                       29181090284180888.0000           59003.0000                       29208934929670316.0000           35003.0000                       29178381972445892.0000           9003.0000                        29133952091221468.0000           22003.0000                       29160654702238708.0000           21003.0000                       29158233077111400.0000           10003.0000                       29134855693615928.0000           20003.0000                       29156493561186272.0000           43003.0000                       29186544266349564.0000           31003.0000                       29173063953841172.0000           57003.0000                       29202015922960272.0000           23003.0000                       29162668683534652.0000           48003.0000                       29192071321727856.0000           32003.0000                       29173980880614084.0000           11003.0000                       29138998828241836.0000           18003.0000                       29154459799441732.0000           15003.0000                       29146715163896200.0000           24003.0000                       29164465064512304.0000           56003.0000                       29201969493141576.0000           52003.0000                       29197532019623380.0000           25003.0000                       29165202150352180.0000           6003.0000                        29125202519828520.0000           14003.0000                       29144982795596352.0000           16003.0000                       29149791456965988.0000           36003.0000                       29179788009034476.0000           1003.0000                        11378044275681356.0000           27003.0000                       29168107804151460.0000           62003.0000                       29217135183908168.0000           55003.0000                       29201789592611780.0000           3003.0000                        29120808869939112.0000           13003.0000                       29143901907857936.0000           12003.0000                       29142502474130416.0000           33003.0000                       29175039888824344.0000           29003.0000                       29171889618867380.0000           54003.0000                       29200469401836032.0000           38003.0000                       29182272289055424.0000           3.0000                           1015.7104                        50003.0000                       29193691549630144.0000           2003.0000                        25984285787831148.0000           41003.0000                       29182874412578336.0000           17003.0000                       29152287886131352.0000           47003.0000                       29192064176911116.0000           53003.0000                       29199071309299928.0000           45003.0000                       29189655035735868.0000           60003.0000                       29211463071458568.0000         
  46004.0000                       29191015530153408.0000           5004.0000                        29122713584165152.0000           7004.0000                        29126771459769060.0000           30004.0000                       29173047727044912.0000           49004.0000                       29192771015448332.0000           28004.0000                       29170160401407500.0000           34004.0000                       29176824706514300.0000           42004.0000                       29184668079628852.0000           58004.0000                       29207124078039636.0000           61004.0000                       29213716230247152.0000           51004.0000                       29195800741905400.0000           8004.0000                        29133055108817988.0000           4004.0000                        29121382508311988.0000           39004.0000                       29182278318524584.0000           26004.0000                       29166603778175248.0000           40004.0000                       29182450999078280.0000           44004.0000                       29188182781175892.0000           19004.0000                       29155232572858740.0000           37004.0000                       29181091558849052.0000           59004.0000                       29208934930033272.0000           35004.0000                       29178383463562196.0000           9004.0000                        29133952150237288.0000           22004.0000                       29160656858167792.0000           21004.0000                       29158235960064832.0000           10004.0000                       29134855693661060.0000           20004.0000                       29156493561188672.0000           43004.0000                       29186546001519620.0000           31004.0000                       29173064052169836.0000           57004.0000                       29202016146378580.0000           23004.0000                       29162670557726236.0000           48004.0000                       29192071349032616.0000           32004.0000                       29173980880621608.0000           11004.0000                       29139002748732304.0000           18004.0000                       29154461902214952.0000           15004.0000                       29146718886988040.0000           24004.0000                       29164466809436304.0000           56004.0000                       29201969500101276.0000           52004.0000                       29197533643860008.0000           25004.0000                       29165202150452932.0000           6004.0000                        29125202519832984.0000           14004.0000                       29144982795597044.0000           16004.0000                       29149794189599364.0000           36004.0000                       29179789354163804.0000           1004.0000                        11564203338422134.0000           27004.0000                       29168110222454596.0000           62004.0000                       29217138212036932.0000           55004.0000                       29201790872250408.0000           3004.0000                        29120808872358848.0000           13004.0000                       29143901908021092.0000           12004.0000                       29142505647377600.0000           33004.0000                       29175041866032336.0000           29004.0000                       29171891237960072.0000           54004.0000                       29200470759486284.0000           38004.0000                       29182272323613748.0000           4.0000                           1205.5100                        50004.0000                       29193694099217196.0000           2004.0000                        26011979955630892.0000           41004.0000                       29182874412578844.0000           17004.0000                       29152290155421204.0000           47004.0000                       29192064184884196.0000           53004.0000                       29199072753509768.0000           45004.0000                       29189656453967228.0000           60004.0000                       29211468855668092.0000         
  46005.0000                       29191016842172316.0000           5005.0000                        29122713584369204.0000           7005.0000                        29126777667815172.0000           30005.0000                       29173047728109992.0000           49005.0000                       29192771015450432.0000           28005.0000                       29170162272365108.0000           34005.0000                       29176826352159844.0000           42005.0000                       29184670130262772.0000           58005.0000                       29207128065811436.0000           61005.0000                       29213716260873056.0000           51005.0000                       29195802586313468.0000           8005.0000                        29133060117761448.0000           4005.0000                        29121388813195456.0000           39005.0000                       29182278340304604.0000           26005.0000                       29166603778179312.0000           40005.0000                       29182452730779312.0000           44005.0000                       29188184344778416.0000           19005.0000                       29155232573303420.0000           37005.0000                       29181092837469728.0000           59005.0000                       29208934930386236.0000           35005.0000                       29178384951854220.0000           9005.0000                        29133952208400632.0000           22005.0000                       29160659015187332.0000           21005.0000                       29158238844602020.0000           10005.0000                       29134855693711652.0000           20005.0000                       29156493561191336.0000           43005.0000                       29186547732014064.0000           31005.0000                       29173064152320856.0000           57005.0000                       29202016414480548.0000           23005.0000                       29162672430765720.0000           48005.0000                       29192071376141584.0000           32005.0000                       29173980880628948.0000           11005.0000                       29139006661788588.0000           18005.0000                       29154464004306576.0000           15005.0000                       29146722601740192.0000           24005.0000                       29164468553271952.0000           56005.0000                       29201969507110204.0000           52005.0000                       29197535271609832.0000           25005.0000                       29165202150549876.0000           6005.0000                        29125202519837752.0000           14005.0000                       29144982795597700.0000           16005.0000                       29149796919157244.0000           36005.0000                       29179790695878216.0000           1005.0000                        11749184144672482.0000           27005.0000                       29168112636783184.0000           62005.0000                       29217141234902192.0000           55005.0000                       29201792155395520.0000           3005.0000                        29120808875262532.0000           13005.0000                       29143901908183948.0000           12005.0000                       29142508814076604.0000           33005.0000                       29175043839601840.0000           29005.0000                       29171892858448816.0000           54005.0000                       29200472112665700.0000           38005.0000                       29182272357869324.0000           5.0000                           1433.2695                        50005.0000                       29193696654832880.0000           2005.0000                        26040583654863952.0000           41005.0000                       29182874412579348.0000           17005.0000                       29152292425653088.0000           47005.0000                       29192064192799232.0000           53005.0000                       29199074198086988.0000           45005.0000                       29189657868691892.0000           60005.0000                       29211474637368116.0000         
  46006.0000                       29191018150725584.0000           5006.0000                        29122713584572048.0000           7006.0000                        29126785117470504.0000           30006.0000                       29173047729135536.0000           49006.0000                       29192771015452436.0000           28006.0000                       29170164135550952.0000           34006.0000                       29176827996553440.0000           42006.0000                       29184672188666688.0000           58006.0000                       29207132039916260.0000           61006.0000                       29213716291289372.0000           51006.0000                       29195804431114536.0000           8006.0000                        29133065139505092.0000           4006.0000                        29121395008264760.0000           39006.0000                       29182278361998520.0000           26006.0000                       29166603778183376.0000           40006.0000                       29182454501545028.0000           44006.0000                       29188185907137828.0000           19006.0000                       29155232573745744.0000           37006.0000                       29181094119008604.0000           59006.0000                       29208934930721672.0000           35006.0000                       29178386435987528.0000           9006.0000                        29133952265929576.0000           22006.0000                       29160661173104436.0000           21006.0000                       29158241726842628.0000           10006.0000                       29134855693766128.0000           20006.0000                       29156493561194324.0000           43006.0000                       29186549462965784.0000           31006.0000                       29173064253905672.0000           57006.0000                       29202016736202912.0000           23006.0000                       29162674307423136.0000           48006.0000                       29192071403137096.0000           32006.0000                       29173980880633996.0000           11006.0000                       29139010572304212.0000           18006.0000                       29154466107334912.0000           15006.0000                       29146726317619460.0000           24006.0000                       29164470295971292.0000           56006.0000                       29201969514152272.0000           52006.0000                       29197536897749420.0000           25006.0000                       29165202150643084.0000           6006.0000                        29125202519843120.0000           14006.0000                       29144982795598332.0000           16006.0000                       29149799645141192.0000           36006.0000                       29179792036435316.0000           1006.0000                        11932361731827234.0000           27006.0000                       29168115049626072.0000           62006.0000                       29217144252420228.0000           55006.0000                       29201793439596932.0000           3006.0000                        29120808878746952.0000           13006.0000                       29143901908346616.0000           12006.0000                       29142511977051076.0000           33006.0000                       29175045811749928.0000           29006.0000                       29171894478267084.0000           54006.0000                       29200473464881012.0000           38006.0000                       29182272391838916.0000           6.0000                           1706.5809                        50006.0000                       29193699213117100.0000           2006.0000                        26069714819514016.0000           41006.0000                       29182874412579844.0000           17006.0000                       29152294695903104.0000           47006.0000                       29192064200648956.0000           53006.0000                       29199075642295072.0000           45006.0000                       29189659285808564.0000           60006.0000                       29211480403345528.0000         
  46007.0000                       29191019457440348.0000           5007.0000                        29122713584774160.0000           7007.0000                        29126793728788636.0000           30007.0000                       29173047730123628.0000           49007.0000                       29192771015454388.0000           28007.0000                       29170165992875440.0000           34007.0000                       29176829644556536.0000           42007.0000                       29184674248208120.0000           58007.0000                       29207136000528572.0000           61007.0000                       29213716321558408.0000           51007.0000                       29195806278147292.0000           8007.0000                        29133070155075100.0000           4007.0000                        29121401124144616.0000           39007.0000                       29182278383771404.0000           26007.0000                       29166603778188252.0000           40007.0000                       29182456303089868.0000           44007.0000                       29188187468283948.0000           19007.0000                       29155232574187512.0000           37007.0000                       29181095399853728.0000           59007.0000                       29208934931042324.0000           35007.0000                       29178387921414384.0000           9007.0000                        29133952323003308.0000           22007.0000                       29160663328830696.0000           21007.0000                       29158244604362732.0000           10007.0000                       29134855693823312.0000           20007.0000                       29156493561197748.0000           43007.0000                       29186551199344792.0000           31007.0000                       29173064357688752.0000           57007.0000                       29202017102696776.0000           23007.0000                       29162676187351988.0000           48007.0000                       29192071430033616.0000           32007.0000                       29173980880637512.0000           11007.0000                       29139014484979624.0000           18007.0000                       29154468211934628.0000           15007.0000                       29146730033652912.0000           24007.0000                       29164472039372288.0000           56007.0000                       29201969521269596.0000           52007.0000                       29197538526733440.0000           25007.0000                       29165202150732824.0000           6007.0000                        29125202519849424.0000           14007.0000                       29144982795598952.0000           16007.0000                       29149802372157908.0000           36007.0000                       29179793378345696.0000           1007.0000                        12113970963740918.0000           27007.0000                       29168117459905616.0000           62007.0000                       29217147268358216.0000           55007.0000                       29201794723922216.0000           3007.0000                        29120808882171100.0000           13007.0000                       29143901908509192.0000           12007.0000                       29142515142978760.0000           33007.0000                       29175047782726868.0000           29007.0000                       29171896101581784.0000           54007.0000                       29200474815222768.0000           38007.0000                       29182272425531740.0000           7.0000                           2034.5546                        50007.0000                       29193701770524448.0000           2007.0000                        26098493857347556.0000           41007.0000                       29182874412580328.0000           17007.0000                       29152296968399340.0000           47007.0000                       29192064208425608.0000           53007.0000                       29199077088621672.0000           45007.0000                       29189660705936728.0000           60007.0000                       29211486149739880.0000         
  46008.0000                       29191020765903068.0000           5008.0000                        29122713584975940.0000           7008.0000                        29126803130354984.0000           30008.0000                       29173047731074964.0000           49008.0000                       29192771015456328.0000           28008.0000                       29170167850831220.0000           34008.0000                       29176831290772440.0000           42008.0000                       29184676305920780.0000           58008.0000                       29207139954806456.0000           61008.0000                       29213716351733320.0000           51008.0000                       29195808126661436.0000           8008.0000                        29133075166267300.0000           4008.0000                        29121407186921184.0000           39008.0000                       29182278405736548.0000           26008.0000                       29166603778193064.0000           40008.0000                       29182458147528820.0000           44008.0000                       29188189030476716.0000           19008.0000                       29155232574629136.0000           37008.0000                       29181096678267356.0000           59008.0000                       29208934931351840.0000           35008.0000                       29178389407238552.0000           9008.0000                        29133952379772464.0000           22008.0000                       29160665488520024.0000           21008.0000                       29158247482646060.0000           10008.0000                       29134855693886960.0000           20008.0000                       29156493561201588.0000           43008.0000                       29186552935402528.0000           31008.0000                       29173064464002824.0000           57008.0000                       29202017468817180.0000           23008.0000                       29162678063407124.0000           48008.0000                       29192071456850564.0000           32008.0000                       29173980880641028.0000           11008.0000                       29139018399267796.0000           18008.0000                       29154470317677956.0000           15008.0000                       29146733747471780.0000           24008.0000                       29164473783100360.0000           56008.0000                       29201969528511172.0000           52008.0000                       29197540158933728.0000           25008.0000                       29165202150819448.0000           6008.0000                        29125202519856288.0000           14008.0000                       29144982795599692.0000           16008.0000                       29149805104154756.0000           36008.0000                       29179794719240968.0000           1008.0000                        12293616628462390.0000           27008.0000                       29168119872357188.0000           62008.0000                       29217150289108228.0000           55008.0000                       29201796010424152.0000           3008.0000                        29120808886280080.0000           13008.0000                       29143901908704280.0000           12008.0000                       29142518315237460.0000           33008.0000                       29175049751657312.0000           29008.0000                       29171897727007212.0000           54008.0000                       29200476171439756.0000           38008.0000                       29182272458961660.0000           8.0000                           2428.1231                        50008.0000                       29193704326578536.0000           2008.0000                        26128435852938592.0000           41008.0000                       29182874412580792.0000           17008.0000                       29152299238425696.0000           47008.0000                       29192064216122708.0000           53008.0000                       29199078538894620.0000           45008.0000                       29189662120590096.0000           60008.0000                       29211491884844412.0000         
  46009.0000                       29191022072285344.0000           5009.0000                        29122713585218076.0000           7009.0000                        29126813034259460.0000           30009.0000                       29173047731994308.0000           49009.0000                       29192771015458516.0000           28009.0000                       29170169710262120.0000           34009.0000                       29176832931514228.0000           42009.0000                       29184678359264280.0000           58009.0000                       29207143907434908.0000           61009.0000                       29213716381860524.0000           51009.0000                       29195809975248704.0000           8009.0000                        29133080177220872.0000           4009.0000                        29121413219220168.0000           39009.0000                       29182278427752364.0000           26009.0000                       29166603778198836.0000           40009.0000                       29182460037675832.0000           44009.0000                       29188190597017780.0000           19009.0000                       29155232575159088.0000           37009.0000                       29181097954462712.0000           59009.0000                       29208934931648556.0000           35009.0000                       29178390892679800.0000           9009.0000                        29133952436366272.0000           22009.0000                       29160667648780848.0000           21009.0000                       29158250359676472.0000           10009.0000                       29134855693954424.0000           20009.0000                       29156493561205756.0000           43009.0000                       29186554671925216.0000           31009.0000                       29173064571635916.0000           57009.0000                       29202017883044332.0000           23009.0000                       29162679940097060.0000           48009.0000                       29192071480744372.0000           32009.0000                       29173980880644544.0000           11009.0000                       29139022311038220.0000           18009.0000                       29154472423583836.0000           15009.0000                       29146737466077096.0000           24009.0000                       29164475531540132.0000           56009.0000                       29201969535880272.0000           52009.0000                       29197541790124432.0000           25009.0000                       29165202150903212.0000           6009.0000                        29125202519863484.0000           14009.0000                       29144982795600528.0000           16009.0000                       29149807836553772.0000           36009.0000                       29179796060104776.0000           1009.0000                        12471083950015316.0000           27009.0000                       29168122287252556.0000           62009.0000                       29217153310430180.0000           55009.0000                       29201797299836288.0000           3009.0000                        29120808890305620.0000           13009.0000                       29143901908895496.0000           12009.0000                       29142521487413692.0000           33009.0000                       29175051722108672.0000           29009.0000                       29171899350066140.0000           54009.0000                       29200477533377080.0000           38009.0000                       29182272492150580.0000           9.0000                           2900.4052                        50009.0000                       29193706880604884.0000           2009.0000                        26159142541606740.0000           41009.0000                       29182874412581236.0000           17009.0000                       29152301507776172.0000           47009.0000                       29192064223733056.0000           53009.0000                       29199079991473040.0000           45009.0000                       29189663532499184.0000           60009.0000                       29211497609350944.0000         
  46010.0000                       29191023379554104.0000           5010.0000                        29122713585455700.0000           7010.0000                        29126823238007604.0000           30010.0000                       29173047732884864.0000           49010.0000                       29192771015460992.0000           28010.0000                       29170171573095760.0000           34010.0000                       29176834572497244.0000           42010.0000                       29184680412920476.0000           58010.0000                       29207147851117300.0000           61010.0000                       29213716411980164.0000           51010.0000                       29195811824996920.0000           8010.0000                        29133085171711808.0000           4010.0000                        29121419240696424.0000           39010.0000                       29182278449623752.0000           26010.0000                       29166603778205764.0000           40010.0000                       29182461971224684.0000           44010.0000                       29188192161683596.0000           19010.0000                       29155232575679352.0000           37010.0000                       29181099226411056.0000           59010.0000                       29208934931934872.0000           35010.0000                       29178392378902944.0000           9010.0000                        29133952492894452.0000           22010.0000                       29160669804604252.0000           21010.0000                       29158253244989000.0000           10010.0000                       29134855694019668.0000           20010.0000                       29156493561210328.0000           43010.0000                       29186556411302352.0000           31010.0000                       29173064680073716.0000           57010.0000                       29202018292263264.0000           23010.0000                       29162681825826640.0000           48010.0000                       29192071503301924.0000           32010.0000                       29173980880647032.0000           11010.0000                       29139026228137904.0000           18010.0000                       29154474532695260.0000           15010.0000                       29146741181846876.0000           24010.0000                       29164477284260076.0000           56010.0000                       29201969543363408.0000           52010.0000                       29197543422231148.0000           25010.0000                       29165202150984500.0000           6010.0000                        29125202519870848.0000           14010.0000                       29144982795601444.0000           16010.0000                       29149810564904676.0000           36010.0000                       29179797404793156.0000           1010.0000                        12646527755364326.0000           27010.0000                       29168124700573732.0000           62010.0000                       29217156309756604.0000           55010.0000                       29201798591043288.0000           3010.0000                        29120808894256392.0000           13010.0000                       29143901909083784.0000           12010.0000                       29142524656112312.0000           33010.0000                       29175053691031056.0000           29010.0000                       29171900975312516.0000           54010.0000                       29200478895200408.0000           38010.0000                       29182272525155148.0000           10.0000                          3467.1437                        50010.0000                       29193709429811772.0000           2010.0000                        26186384118487600.0000           41010.0000                       29182874412581664.0000           17010.0000                       29152303779309768.0000           47010.0000                       29192064231249404.0000           53010.0000                       29199081440798352.0000           45010.0000                       29189664937271548.0000           60010.0000                       29211503308289424.0000         
