# Ritter 2018 yields
# Model: M2.00Z2.0e-02
# Set: set1.2
# Mini: 2.00
# Mfinal: 0.6203309543381046
# Created by Daniel Boyea on 2024-10-31
isotope       mass_yield     X0      
H-1            9.2333e-01     7.0644e-01
H-2            4.9730e-06     1.3705e-05
He-3           3.8915e-04     4.5400e-05
He-4           4.0511e-01     2.7350e-01
Li-7           2.8975e-11     7.6051e-11
B-11           3.9402e-09     2.8559e-09
C-12           1.8809e-02     3.4247e-03
C-13           1.3645e-04     4.1561e-05
C-14           1.5926e-08     0.0000e+00
N-13           7.9605e-12     0.0000e+00
N-14           3.5579e-03     1.0588e-03
N-15           2.7805e-06     4.1707e-06
O-16           1.9035e-02     9.6244e-03
O-17           4.9799e-05     3.8131e-06
O-18           2.1612e-05     2.1711e-05
F-18           1.0282e-14     0.0000e+00
F-19           2.2617e-06     5.6110e-07
Ne-20          2.5133e-03     1.8177e-03
Ne-21          6.4964e-06     4.5753e-06
Ne-22          1.2756e-03     1.4702e-04
Na-23          7.7561e-05     3.9995e-05
Mg-24          8.1570e-04     5.8624e-04
Mg-25          1.3148e-04     7.7331e-05
Mg-26          1.7800e-04     8.8480e-05
Al-26          2.2542e-07     0.0000e+00
Al-27          9.1222e-05     6.4811e-05
Si-28          1.0278e-03     7.4527e-04
Si-29          5.4600e-05     3.9194e-05
Si-30          3.8609e-05     2.6728e-05
P-31           9.9937e-06     7.1063e-06
S-32           5.5166e-04     4.0109e-04
S-33           4.7103e-06     3.2648e-06
S-34           2.6362e-05     1.8904e-05
S-35           1.2800e-23     0.0000e+00
S-36           1.7019e-07     8.0730e-08
Cl-35          9.3388e-06     6.8211e-06
Cl-36          1.5065e-08     0.0000e+00
Cl-37          3.8020e-06     2.3058e-06
Ar-36          1.1232e-04     8.2022e-05
Ar-37          1.7089e-12     0.0000e+00
Ar-38          2.1992e-05     1.5741e-05
Ar-39          1.1210e-08     0.0000e+00
Ar-40          4.5708e-08     2.6502e-08
K-39           5.3941e-06     3.8997e-06
K-40           2.0051e-08     5.0051e-10
K-41           4.5315e-07     2.9587e-07
Ca-40          9.9162e-05     7.2252e-05
Ca-41          6.0490e-08     0.0000e+00
Ca-42          7.6971e-07     5.0633e-07
Ca-43          1.6313e-07     1.0816e-07
Ca-44          2.3690e-06     1.7102e-06
Ca-45          1.5989e-23     0.0000e+00
Ca-46          5.3168e-09     3.4285e-09
Ca-47          6.7472e-28     0.0000e+00
Ca-48          2.3055e-07     1.6725e-07
