# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Neutron-1      1.6765e-30     1.0000e-99
H-1            9.3335e-01     7.4933e-01
H-2            3.3172e-06     1.4537e-05
He-3           2.7930e-04     4.1436e-05
He-4           3.7140e-01     2.4962e-01
Be-7           8.8900e-08     1.0000e-99
B-8            1.4039e-14     1.0000e-99
Li-7           2.5597e-10     7.7736e-10
C-11           4.9281e-19     1.0000e-99
B-11           3.7670e-11     2.8585e-11
C-12           9.0048e-03     1.2503e-04
C-13           9.0787e-04     4.1599e-07
N-13           8.9243e-09     1.0000e-99
N-14           7.8417e-04     1.0598e-05
C-14           1.8228e-08     1.0000e-99
N-15           6.5711e-08     4.1745e-08
O-16           1.6079e-03     7.4090e-04
O-17           6.9093e-06     3.8165e-08
O-18           1.8081e-07     2.1730e-07
F-17           1.0593e-13     1.0000e-99
F-18           2.7290e-13     1.0000e-99
F-19           1.0477e-06     5.6160e-09
Ne-20          7.7468e-05     5.7533e-05
Ne-21          1.2028e-07     4.5794e-08
Ne-22          3.3124e-04     1.4716e-06
Na-22          1.2334e-08     1.0000e-99
Na-23          3.0203e-06     4.0031e-07
Mg-23          8.5216e-19     1.0000e-99
Mg-24          2.1085e-05     1.5117e-05
Mg-25          1.5565e-06     7.7400e-07
Mg-26          2.2315e-06     8.8560e-07
Al-26          5.4975e-09     1.0000e-99
Al-27          9.4427e-07     6.4869e-07
Si-27          2.3539e-21     1.0000e-99
Si-28          1.9943e-05     1.5125e-05
Si-29          5.2882e-07     3.9229e-07
Si-30          4.0002e-07     2.6752e-07
P-31           1.2782e-07     7.1127e-08
S-31           1.3185e-99     1.0000e-99
Be-8           1.3185e-99     1.0000e-99
O-14           3.8902e-15     1.0000e-99
O-15           4.6308e-12     1.0000e-99
Na-21          3.1159e-18     1.0000e-99
Al-25          1.5401e-18     1.0000e-99
P-29           7.2055e-25     1.0000e-99
P-30           7.6643e-21     1.0000e-99
Pb-206         1.2608e-09     2.8002e-11
Pb-207         2.1685e-09     3.0924e-11
Bi-211         5.0757e-31     1.0000e-99
Po-210         1.3185e-99     1.0000e-99
F-20           1.7042e-27     1.0000e-99
Ne-19          5.0133e-21     1.0000e-99
Na-24          1.0676e-18     1.0000e-99
Mg-27          9.0246e-27     1.0000e-99
Mg-28          2.0203e-57     1.0000e-99
Al-28          1.3051e-25     1.0000e-99
Al-29          3.2150e-37     1.0000e-99
Si-31          9.4793e-21     1.0000e-99
Si-32          1.2744e-13     1.0000e-99
P-32           3.0030e-17     1.0000e-99
P-33           5.6692e-20     1.0000e-99
P-34           4.1300e-60     1.0000e-99
P-35           1.3185e-99     1.0000e-99
S-32           1.4350e-05     1.0930e-05
S-33           4.8983e-08     3.2677e-08
S-34           2.6307e-07     1.8921e-07
S-35           3.7436e-18     1.0000e-99
S-36           2.5094e-09     8.0802e-10
S-37           1.5294e-28     1.0000e-99
S-38           3.1638e-60     1.0000e-99
Cl-34          2.6469e-25     1.0000e-99
Cl-35          8.9100e-08     6.8272e-08
Cl-36          1.5755e-10     1.0000e-99
Cl-37          3.8916e-08     2.3079e-08
Cl-38          6.6445e-24     1.0000e-99
Cl-39          1.8445e-35     1.0000e-99
Cl-40          1.3185e-99     1.0000e-99
Ar-35          1.3185e-99     1.0000e-99
Ar-36          2.1363e-06     1.6380e-06
Ar-37          8.1570e-13     1.0000e-99
Ar-38          2.1494e-07     1.5756e-07
Ar-39          4.9052e-11     1.0000e-99
Ar-40          1.1721e-09     2.6526e-10
Ar-41          2.0253e-23     1.0000e-99
Ar-42          3.7906e-18     1.0000e-99
Ar-43          8.2195e-78     1.0000e-99
Ar-44          1.3185e-99     1.0000e-99
K-38           3.7842e-29     1.0000e-99
K-39           5.2471e-08     3.9032e-08
