# Battino yields
# Model: m3z1m3-bigpoc
# Set: set1.01
# Mini: 3.00
# Mfinal: 0.8314503384460126
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Neutron-1      4.1402e-29     1.0000e-99
H-1            1.5688e+00     7.4933e-01
H-2            1.0093e-06     1.4537e-05
He-3           2.7680e-04     4.1436e-05
He-4           5.9100e-01     2.4962e-01
Be-7           5.8059e-08     1.0000e-99
B-8            1.2114e-14     1.0000e-99
Li-7           1.8070e-10     7.7736e-10
C-11           1.3631e-19     1.0000e-99
B-11           6.1987e-11     2.8585e-11
C-12           4.6817e-03     1.2503e-04
C-13           5.1991e-04     4.1599e-07
N-13           5.5441e-09     1.0000e-99
N-14           7.3346e-04     1.0598e-05
C-14           3.7970e-08     1.0000e-99
N-15           4.7020e-08     4.1745e-08
O-16           2.0431e-03     7.4090e-04
O-17           5.1932e-06     3.8165e-08
O-18           2.9666e-07     2.1730e-07
F-17           2.7438e-13     1.0000e-99
F-18           3.8633e-13     1.0000e-99
F-19           9.2580e-07     5.6160e-09
Ne-20          1.2724e-04     5.7533e-05
Ne-21          2.9395e-07     4.5794e-08
Ne-22          1.6487e-04     1.4716e-06
Na-22          1.6270e-08     1.0000e-99
Na-23          2.4118e-06     4.0031e-07
Mg-23          1.3972e-17     1.0000e-99
Mg-24          3.3351e-05     1.5117e-05
Mg-25          2.3793e-06     7.7400e-07
Mg-26          3.7003e-06     8.8560e-07
Al-26          2.1851e-09     1.0000e-99
Al-27          1.7738e-06     6.4869e-07
Si-27          7.7778e-19     1.0000e-99
Si-28          3.3324e-05     1.5125e-05
Si-29          8.8112e-07     3.9229e-07
Si-30          6.3754e-07     2.6752e-07
P-31           2.3191e-07     7.1127e-08
S-31           2.1686e-99     1.0000e-99
Be-8           2.1686e-99     1.0000e-99
O-14           4.0594e-15     1.0000e-99
O-15           1.2471e-11     1.0000e-99
Na-21          4.3285e-17     1.0000e-99
Al-25          1.0823e-17     1.0000e-99
P-29           8.9047e-24     1.0000e-99
P-30           4.5280e-20     1.0000e-99
Pb-206         2.8735e-09     2.8002e-11
Pb-207         4.6291e-09     3.0924e-11
Bi-211         5.9640e-27     1.0000e-99
Po-210         2.1686e-99     1.0000e-99
F-20           1.4737e-25     1.0000e-99
Ne-19          1.8651e-20     1.0000e-99
Na-24          5.3494e-17     1.0000e-99
Mg-27          8.1470e-25     1.0000e-99
Mg-28          2.9363e-25     1.0000e-99
Al-28          3.7940e-24     1.0000e-99
Al-29          5.2093e-33     1.0000e-99
Si-31          1.0303e-20     1.0000e-99
Si-32          4.9181e-12     1.0000e-99
P-32           4.3975e-15     1.0000e-99
P-33           4.3393e-17     1.0000e-99
P-34           3.7280e-35     1.0000e-99
P-35           2.1686e-99     1.0000e-99
S-32           2.3677e-05     1.0930e-05
S-33           7.6513e-08     3.2677e-08
S-34           4.2392e-07     1.8921e-07
S-35           3.7286e-16     1.0000e-99
S-36           4.2297e-09     8.0802e-10
S-37           1.3944e-27     1.0000e-99
S-38           2.0563e-34     1.0000e-99
Cl-34          2.3002e-24     1.0000e-99
Cl-35          1.4747e-07     6.8272e-08
Cl-36          1.2041e-10     1.0000e-99
Cl-37          5.5713e-08     2.3079e-08
Cl-38          3.3407e-24     1.0000e-99
Cl-39          5.1967e-31     1.0000e-99
Cl-40          4.3864e-46     1.0000e-99
Ar-35          2.1686e-99     1.0000e-99
Ar-36          3.5350e-06     1.6380e-06
Ar-37          6.5120e-11     1.0000e-99
Ar-38          3.4656e-07     1.5756e-07
Ar-39          4.6739e-10     1.0000e-99
Ar-40          1.6519e-09     2.6526e-10
Ar-41          1.2095e-23     1.0000e-99
Ar-42          5.6333e-15     1.0000e-99
Ar-43          1.9499e-32     1.0000e-99
Ar-44          8.1854e-50     1.0000e-99
K-38           3.8609e-25     1.0000e-99
K-39           8.4782e-08     3.9032e-08
K-40           1.7964e-10     5.0096e-12
K-41           6.6654e-09     2.9613e-09
K-42           3.4919e-19     1.0000e-99
K-43           4.9196e-23     1.0000e-99
K-44           1.9208e-37     1.0000e-99
K-45           3.6925e-47     1.0000e-99
K-46           2.1686e-99     1.0000e-99
Ca-39          2.1686e-99     1.0000e-99
Ca-40          2.6045e-06     1.2057e-06
Ca-41          3.3265e-10     1.0000e-99
Ca-42          1.1525e-08     5.0679e-09
Ca-43          2.4658e-09     1.0826e-09
Ca-44          3.7467e-08     1.7117e-08
Ca-45          9.2553e-16     1.0000e-99
Ca-46          1.0019e-10     3.4316e-11
Ca-47          1.3154e-18     1.0000e-99
Ca-48          3.6246e-09     1.6740e-09
Ca-49          4.0203e-28     1.0000e-99
Sc-43          5.6888e-23     1.0000e-99
Sc-44          7.5628e-24     1.0000e-99
Sc-45          1.2909e-09     5.4186e-10
Sc-46          9.8192e-16     1.0000e-99
Sc-47          1.7386e-18     1.0000e-99
Sc-48          8.3376e-24     1.0000e-99
Sc-49          1.8821e-25     1.0000e-99
Sc-50          1.6534e-38     1.0000e-99
Ti-44          1.4876e-25     1.0000e-99
Ti-45          2.1686e-99     1.0000e-99
Ti-46          7.1320e-09     3.2347e-09
Ti-47          6.4658e-09     2.9797e-09
Ti-48          1.1571e-07     5.3765e-08
Ti-49          5.5313e-09     2.2594e-09
Ti-50          6.7102e-09     2.2100e-09
Ti-51          9.1527e-27     1.0000e-99
Ti-52          1.4402e-37     1.0000e-99
V-47           6.1304e-27     1.0000e-99
V-48           4.2427e-23     1.0000e-99
V-49           2.9500e-18     1.0000e-99
V-50           2.1815e-11     1.0164e-11
V-51           9.0289e-09     4.1415e-09
V-52           4.6922e-26     1.0000e-99
